campaign_id,wave,start_date,end_date,motion,target_organization,target_domain,target_asset_url,rationale,owner_dependency,status,next_review_date,acceptance_checks,notes
P01,W1,2026-08-19,2026-09-02,partner,6sense,6sense.com,https://www.folloze-blog.com/insights/how-to-activate-6sense-and-folloze-together,Joint workflow page can help shared users move from intent data to governed campaign execution,Trey plus partner marketing; current 6sense documentation review required,draft_review,2026-08-18,Target asset evidence-ready; partner confirms technical accuracy; independent source page returns 200; contextual link is live; record in baseline CSV,Do not contact until source-quality review passes
P02,W1,2026-08-19,2026-09-02,partner,Demandbase,demandbase.com,https://www.folloze-blog.com/insights/demandbase-personalization-for-b2b-buyer-journeys,Joint workflow page addresses intent activation and buyer-journey personalization,Trey plus partner marketing; current Demandbase documentation review required,draft_review,2026-08-18,Target asset evidence-ready; partner confirms technical accuracy; independent source page returns 200; contextual link is live; record in baseline CSV,Do not frame as an endorsed integration resource without approval
P03,W1,2026-08-19,2026-09-02,partner,Adobe Marketo,adobe.com,https://www.folloze-blog.com/insights/marketo-plus-folloze-for-personalized-campaign-journeys,Practical Marketo-to-Folloze campaign journey guidance can support shared implementation education,Trey plus partner or marketplace owner; current Marketo documentation review required,draft_review,2026-08-18,Target asset evidence-ready; vendor facts match official docs; source page is indexed and returns 200; contextual link is live; record in baseline CSV,Do not request changes to Folloze.com
P04,W1,2026-08-19,2026-09-02,partner,Salesforce,salesforce.com,https://www.folloze-blog.com/insights/salesforce-plus-folloze-for-account-level-engagement-tracking,Joint workflow page explains account-level engagement context for Salesforce users,Trey plus AppExchange or partner owner; package and field claims require product review,draft_review,2026-08-18,Target asset evidence-ready; package claims verified; independent source page returns 200; contextual link is live; record in baseline CSV,Use AppExchange resources only if the listing owner approves
P05,W1,2026-08-19,2026-09-02,partner,HubSpot,hubspot.com,https://www.folloze-blog.com/insights/hubspot-folloze-for-personalized-b2b-campaign-experiences,Joint campaign-experience guide is relevant to HubSpot marketing and sales users,Trey plus partner marketing; current HubSpot documentation review required,draft_review,2026-08-18,Target asset evidence-ready; integration claims verified; independent source page returns 200; contextual link is live; record in baseline CSV,No directory submission without an authorized listing owner
P06,W1,2026-08-19,2026-09-02,partner,LeanData,leandata.com,https://www.folloze-blog.com/insights/leandata-folloze-for-account-routing-and-experience-handoffs,Routing-to-experience handoff guidance offers a concrete joint workflow for revenue teams,Trey plus partner marketing; workflow review required,draft_review,2026-08-18,Target asset evidence-ready; workflow facts approved; independent source page returns 200; contextual link is live; record in baseline CSV,Keep the request educational rather than reciprocal-link transactional
P07,W1,2026-08-19,2026-09-02,partner,ZoomInfo,zoominfo.com,https://www.folloze-blog.com/insights/zoominfo-folloze-for-account-prioritization-and-personalization,Account prioritization and personalization is a relevant shared-use case,Trey plus partner marketing; current product documentation review required,draft_review,2026-08-18,Target asset evidence-ready; product claims approved; independent source page returns 200; contextual link is live; record in baseline CSV,Do not imply data flow details that are not in approved documentation
P08,W1,2026-08-19,2026-09-02,partner,Twilio Segment,segment.com,https://www.folloze-blog.com/insights/segment-folloze-for-first-party-personalization-workflows,First-party data activation guide can serve shared Segment and Folloze users,Trey plus partner marketing; current connector support must be confirmed,blocked_on_product_confirmation,2026-08-18,Connector support confirmed; target asset evidence-ready; independent source page returns 200; contextual link is live; record in baseline CSV,Do not contact while connector support remains unconfirmed
C01,W2,2026-09-03,2026-10-02,customer,ServiceNow,servicenow.com,https://www.folloze-blog.com/insights/how-to-turn-event-engagement-into-account-specific-follow-up,A customer-reviewed operating story could add independently hosted evidence for event and account follow-up claims,Trey plus customer marketing and legal; written proof approval required,blocked_on_evidence,2026-08-28,Named proof is publicly approved; customer reviews exact copy; independent customer page returns 200; contextual link is live; record in baseline CSV,No unapproved customer metrics or logo use
C02,W2,2026-09-03,2026-10-02,customer,Qlik,qlik.com,https://www.folloze-blog.com/insights/b2b-personalization-metrics-that-matter-to-revenue-leaders,A customer-hosted reference could substantiate measurable personalization outcomes,Trey plus customer marketing and legal; written proof approval required,blocked_on_evidence,2026-08-28,Named proof is publicly approved; customer reviews exact copy; independent customer page returns 200; contextual link is live; record in baseline CSV,Link should point to the supported metric context rather than a generic homepage
C03,W2,2026-09-03,2026-10-02,customer,RingCentral,ringcentral.com,https://www.folloze-blog.com/insights/how-to-use-personalization-to-improve-abm-conversion-rates,A customer-reviewed story could substantiate account-engagement and personalization outcomes,Trey plus customer marketing and legal; written proof approval required,blocked_on_evidence,2026-08-28,Named proof is publicly approved; customer reviews exact copy; independent customer page returns 200; contextual link is live; record in baseline CSV,No use of internal-only outcomes
C04,W2,2026-09-03,2026-10-02,customer,Conga,conga.com,https://www.folloze-blog.com/insights/how-to-activate-6sense-and-folloze-together,A shared customer and partner workflow could provide independently hosted evidence for intent activation,Trey plus customer marketing and legal; public proof and 6sense wording approval required,blocked_on_evidence,2026-08-28,Named proof is publicly approved; customer and partner framing reviewed; source page returns 200; contextual link is live; record in baseline CSV,Customer and partner approvals are separate dependencies
E01,W2,2026-09-03,2026-10-02,editorial,MarTech,martech.org,https://www.folloze-blog.com/insights/folloze-ai-visibility-benchmark-2026,A transparent benchmark can contribute original B2B AI-visibility data and methodology,Trey plus content owner; benchmark must be published and evidence-ready,blocked_on_unpublished_asset,2026-09-01,Benchmark returns 200; methodology and limitations are public; editor independently chooses coverage; editorial source link is live; record in baseline CSV,Reserved target only; nothing is currently published at this URL
E02,W2,2026-09-03,2026-10-02,editorial,Demand Gen Report,demandgenreport.com,https://www.folloze-blog.com/insights/folloze-ai-visibility-benchmark-2026,Original non-branded visibility findings are relevant to demand-generation operators,Trey plus content owner; benchmark must be published and evidence-ready,blocked_on_unpublished_asset,2026-09-01,Benchmark returns 200; dataset and method are reviewable; editor independently chooses coverage; editorial source link is live; record in baseline CSV,Do not pitch an unpublished benchmark
E03,W3,2026-10-03,2026-11-02,editorial,CMSWire,cmswire.com,https://www.folloze-blog.com/insights/folloze-ai-visibility-benchmark-2026,The benchmark can support analysis of AI discovery and B2B customer-experience content,Trey plus content owner; benchmark must be published and evidence-ready,blocked_on_unpublished_asset,2026-09-25,Benchmark returns 200; evidence package is complete; editor independently chooses coverage; editorial source link is live; record in baseline CSV,Personalize to an existing editorial beat before any outreach
E04,W3,2026-10-03,2026-11-02,editorial,MarketingProfs,marketingprofs.com,https://www.folloze-blog.com/insights/folloze-ai-visibility-benchmark-2026,Method-backed visibility findings can support practitioner education for B2B marketers,Trey plus content owner; benchmark must be published and evidence-ready,blocked_on_unpublished_asset,2026-09-25,Benchmark returns 200; evidence package is complete; editor independently chooses coverage; editorial source link is live; record in baseline CSV,Avoid product-led pitch language
E05,W2,2026-09-03,2026-10-02,editorial,Search Engine Land,searchengineland.com,https://www.folloze-abm.com/best-ai-marketing-orchestration-tools-for-enterprise-teams,A source-reviewed evaluation page can support analysis of how AI marketing tools are categorized for enterprise teams,Trey plus content owner; comparison evidence and freshness review required,blocked_on_evidence,2026-08-28,Every vendor claim has a current primary source; target returns 200; editor independently chooses coverage; contextual source link is live; record in baseline CSV,Do not pitch rankings or placements as objective until the methodology is evidence-ready
E06,W3,2026-10-03,2026-11-02,editorial,RevOps Co-op,revopscoop.com,https://www.folloze-abm.com/best-digital-sales-room-software-for-enterprise-deals,A source-reviewed DSR evaluation can support practical revenue-operations education,Trey plus content owner; comparison evidence and freshness review required,blocked_on_evidence,2026-09-25,Every vendor claim has a current primary source; target returns 200; editor independently chooses coverage; contextual source link is live; record in baseline CSV,Position as an evaluation framework rather than a promotional ranking
D01,W1,2026-08-19,2026-09-02,directory_profile,G2,g2.com,https://www.folloze-blog.com/,An accurate resource link can strengthen entity consistency where profile fields permit supporting resources,Corporate G2 profile owner; brand approval and account access required,blocked_on_account_owner,2026-08-18,Official website field remains Folloze.com; resource field permits the publication; profile facts are current; live link verified; record in baseline CSV,Do not replace the corporate website URL with the publication
D02,W1,2026-08-19,2026-09-02,directory_profile,TrustRadius,trustradius.com,https://www.folloze-blog.com/,An approved resource link can connect category education to an established review profile,Corporate TrustRadius profile owner; brand approval and account access required,blocked_on_account_owner,2026-08-18,Official website field remains Folloze.com; resource field permits the publication; profile facts are current; live link verified; record in baseline CSV,No review solicitation is included in this motion
D03,W1,2026-08-19,2026-09-02,directory_profile,Capterra,capterra.com,https://www.folloze-blog.com/,An approved educational resource can improve entity consistency on a software directory profile,Corporate Capterra profile owner; brand approval and account access required,blocked_on_account_owner,2026-08-18,Official website field remains Folloze.com; resource field permits the publication; profile facts are current; live link verified; record in baseline CSV,Do not create a duplicate listing
D04,W1,2026-08-19,2026-09-02,directory_profile,LinkedIn,linkedin.com,https://www.folloze-blog.com/authors/trey-harnden,Author-profile alignment can strengthen author identity and route readers to the controlled publication,Trey for personal profile; corporate owner for company profile,draft_review,2026-08-18,Employment and author facts match; link appears in an allowed field or relevant post; target returns 200; record referral separately from followed backlinks,Social links may be nofollow and should not be counted as qualified backlinks automatically
D05,W3,2026-10-03,2026-11-02,directory_profile,YouTube,youtube.com,https://www.folloze-blog.com/insights/folloze-ai-visibility-benchmark-2026,A methodology walkthrough can create discoverability and a source link from an owned video description,Trey or authorized channel owner; benchmark and video approval required,blocked_on_unpublished_asset,2026-09-25,Benchmark and video are live; description links to the exact asset; disclosure is accurate; referral and backlink status recorded separately,No video or description is authorized by this tracker
